driverStandingsId,raceId,driverId,points,position,wins,year
69332,1016,20,100.0,3,0,2019
69333,1016,844,72.0,5,0,2019
69334,1016,825,14.0,9,0,2019
69335,1016,807,12.0,13,0,2019
69336,1016,8,13.0,11,0,2019
69337,1016,840,6.0,16,0,2019
69338,1016,826,10.0,14,0,2019
69339,1016,842,36.0,6,0,2019
69340,1016,846,12.0,12,0,2019
69341,1016,815,13.0,10,0,2019
69342,1016,848,7.0,15,0,2019
69343,1016,841,0.0,18,0,2019
69344,1016,847,0.0,19,0,2019
69345,1016,9,0.0,20,0,2019
69346,1016,154,2.0,17,0,2019
69347,1016,817,16.0,8,0,2019
69348,1016,832,18.0,7,0,2019
69424,1017,847,0.0,19,0,2019
69428,1017,832,26.0,7,0,2019
69416,1017,8,19.0,8,0,2019
69417,1017,840,6.0,16,0,2019
69409,1017,822,151.0,2,2,2019
69427,1017,817,16.0,9,0,2019
69426,1017,154,2.0,17,0,2019
69425,1017,9,0.0,20,0,2019
69423,1017,841,0.0,18,0,2019
69422,1017,848,7.0,15,0,2019
69421,1017,815,13.0,13,0,2019
69419,1017,842,37.0,6,0,2019
69420,1017,846,14.0,12,0,2019
69418,1017,826,10.0,14,0,2019
69414,1017,825,14.0,11,0,2019
69415,1017,807,16.0,10,0,2019
69413,1017,844,87.0,5,0,2019
69412,1017,20,111.0,3,0,2019
69411,1017,830,100.0,4,0,2019
69410,1017,1,187.0,1,6,2019
69429,1018,822,166.0,2,2,2019
69430,1018,1,197.0,1,6,2019
69431,1018,830,126.0,3,1,2019
69432,1018,20,123.0,4,0,2019
69433,1018,844,105.0,5,0,2019
69434,1018,825,14.0,12,0,2019
69435,1018,807,16.0,11,0,2019
69436,1018,8,21.0,9,0,2019
69437,1018,840,6.0,16,0,2019
69438,1018,826,10.0,14,0,2019
69439,1018,842,43.0,6,0,2019
69440,1018,846,22.0,8,0,2019
69441,1018,815,13.0,13,0,2019
69442,1018,848,7.0,15,0,2019
69443,1018,841,1.0,18,0,2019
69444,1018,847,0.0,19,0,2019
69445,1018,9,0.0,20,0,2019
69446,1018,154,2.0,17,0,2019
69447,1018,817,16.0,10,0,2019
69448,1018,832,30.0,7,0,2019
69449,1019,822,184.0,2,2,2019
69450,1019,1,223.0,1,7,2019
69451,1019,830,136.0,3,1,2019
69452,1019,20,123.0,4,0,2019
69453,1019,844,120.0,5,0,2019
69454,1019,825,14.0,12,0,2019
69455,1019,807,17.0,11,0,2019
69456,1019,8,25.0,8,0,2019
69457,1019,840,6.0,16,0,2019
69458,1019,826,12.0,14,0,2019
69459,1019,842,55.0,6,0,2019
69460,1019,846,22.0,9,0,2019
69461,1019,815,13.0,13,0,2019
69462,1019,848,7.0,15,0,2019
69463,1019,841,1.0,18,0,2019
69464,1019,847,0.0,19,0,2019
69465,1019,9,0.0,20,0,2019
69466,1019,154,2.0,17,0,2019
69467,1019,817,22.0,10,0,2019
69468,1019,832,38.0,7,0,2019
69508,1020,832,48.0,7,0,2019
69507,1020,817,22.0,11,0,2019
69506,1020,154,8.0,17,0,2019
69505,1020,9,1.0,19,0,2019
69501,1020,815,13.0,16,0,2019
69500,1020,846,22.0,10,0,2019
69499,1020,842,55.0,6,0,2019
69498,1020,826,27.0,8,0,2019
69497,1020,840,18.0,12,0,2019
69496,1020,8,25.0,9,0,2019
69490,1020,1,225.0,1,7,2019
69503,1020,841,1.0,18,0,2019
69489,1020,822,184.0,2,2,2019
69504,1020,847,0.0,20,0,2019
69502,1020,848,15.0,15,0,2019
69491,1020,830,162.0,3,2,2019
69492,1020,20,141.0,4,0,2019
69493,1020,844,120.0,5,0,2019
69494,1020,825,18.0,13,0,2019
69495,1020,807,17.0,14,0,2019
69509,1021,822,188.0,2,2,2019
69510,1021,1,250.0,1,8,2019
69511,1021,830,181.0,3,2,2019
69512,1021,20,156.0,4,0,2019
69513,1021,844,132.0,5,0,2019
69514,1021,825,18.0,13,0,2019
69515,1021,807,17.0,14,0,2019
69516,1021,8,31.0,8,0,2019
69517,1021,840,18.0,12,0,2019
69518,1021,826,27.0,9,0,2019
69519,1021,842,63.0,6,0,2019
69520,1021,846,24.0,10,0,2019
69521,1021,815,13.0,16,0,2019
69522,1021,848,16.0,15,0,2019
69523,1021,841,1.0,18,0,2019
69524,1021,847,0.0,20,0,2019
69525,1021,9,1.0,19,0,2019
69526,1021,154,8.0,17,0,2019
69527,1021,817,22.0,11,0,2019
69528,1021,832,58.0,7,0,2019
69529,1022,822,203.0,2,2,2019
69530,1022,1,268.0,1,8,2019
69531,1022,830,181.0,3,2,2019
69532,1022,20,169.0,4,0,2019
69533,1022,844,157.0,5,1,2019
69534,1022,825,18.0,16,0,2019
69535,1022,807,21.0,14,0,2019
69536,1022,8,31.0,9,0,2019
69537,1022,840,19.0,15,0,2019
69538,1022,826,33.0,8,0,2019
69539,1022,842,65.0,6,0,2019
69540,1022,846,24.0,11,0,2019
69541,1022,815,21.0,13,0,2019
69542,1022,848,26.0,10,0,2019
69543,1022,841,1.0,18,0,2019
69544,1022,847,0.0,20,0,2019
69545,1022,9,1.0,19,0,2019
69546,1022,154,8.0,17,0,2019
69547,1022,817,22.0,12,0,2019
69548,1022,832,58.0,7,0,2019
69549,1023,822,221.0,2,2,2019
69550,1023,1,284.0,1,8,2019
69551,1023,830,185.0,3,2,2019
69552,1023,20,169.0,5,0,2019
69553,1023,844,182.0,4,2,2019
69554,1023,825,18.0,16,0,2019
69555,1023,807,31.0,11,0,2019
69556,1023,8,31.0,12,0,2019
69557,1023,840,19.0,15,0,2019
69558,1023,826,33.0,10,0,2019
69559,1023,842,65.0,6,0,2019
